,Estado,Regiao
0,Distrito Federal,Centro-Oeste
1,São Paulo,Sudeste
2,Santa Catarina,Sul
3,Rio de Janeiro,Sudeste
4,Paraná,Sul
5,Rio Grande do Sul,Sul
6,Espírito Santo,Sudeste
7,Goiás,Centro-Oeste
8,Minas Gerais,Sudeste
9,Mato Grosso do Sul,Centro-Oeste
10,Mato Grosso,Centro-Oeste
11,Amapá,Norte
12,Roraima,Norte
13,Tocantins,Norte
14,Rondônia,Norte
15,Rio Grande do Norte,Nordeste
16,Ceará,Nordeste
17,Amazonas,Norte
18,Pernambuco,Nordeste
19,Sergipe,Nordeste
20,Acre,Norte
21,Bahia,Nordeste
22,Paraíba,Nordeste
23,Piauí,Nordeste
24,Pará,Norte
25,Maranhão,Nordeste
26,Alagoas,Nordeste
