UF	ESTADO	Renda	Pobreza	Homicidio	IDEB_AI	IDEB_AF
AC	Acre	769	0.189	45.1	5.3	4.4
AL	Alagoas	658	0.205	54.46666667	4.3	3.2
AP	Amapa	936	0.128	46.93333333	4.3	3.5
AM	Amazonas	850	0.193	35	5	4.2
BA	Bahia	862	0.177	43.83333333	4.4	3.4
CE	Ceara	824	0.184	48.8	5.7	4.5
DF	Distrito Federal	2548	0.019	23.06666667	5.6	4
ES	Espirito Santo	1205	0.043	35.43333333	5.5	4.1
GO	Goias	1277	0.037	43.3	5.6	4.6
MA	Maranhao	597	0.263	33.1	4.4	3.7
MT	Mato Grosso	1247	0.059	34.66666667	5.5	4.5
MS	Mato Grosso do Sul	1291	0.05	23.23333333	5.3	4.3
MG	Minas Gerais	1224	0.047	21.1	6.1	4.6
PR	Parana	1472	0.03	25.43333333	6.1	4.3
PB	Paraiba	928	0.163	34.7	4.5	3.5
PA	Para	715	0.192	49.73333333	4.3	3.6
PE	Pernambuco	852	0.161	48.6	4.6	3.8
PI	Piaui	750	0.216	20.76666667	4.6	3.9
RJ	Rio de Janeiro	1445	0.039	35.8	5.2	4
RN	Rio Grande do Norte	845	0.13	55.43333333	4.4	3.4
RS	Rio Grande do Sul	1635	0.029	27.16666667	5.5	4.2
RO	Rondonia	957	0.079	33.76666667	5.3	4.1
RR	Roraima	1006	0.179	41.26666667	5.1	3.7
SC	Santa Catarina	1597	0.017	14.9	6.1	4.9
SE	Sergipe	836	0.153	59.5	4.1	3.1
SP	Sao Paulo	1712	0.027	11.26666667	6.2	4.7
TO	Tocantins	937	0.119	32.46666667	5	4
